"code","azimuth","dBase","dTip","length","tipD","height","tilt","toBePruned","pathToTip"
"L1",0,67,40,"6.8",0,0,90,,"TRUE"
"B1",250,40,,,"7.8","6.8",,,
"B2",240,32,,,"8.9","7.8",,,
"B3",55,25,,,9,9,,,
"B4",260,10,,,"5.5",10,,"TRUE",
"B5",80,36,,,"8.2","10.6",,,
"B6",255,27,,,"4.5","10.8",,,
"B7",0,40,,,"6.5","6.8",70,,"TRUE"
